sub,File.name,condition,time,Mean.Pitch
7,P007_stranger_Talk_mis_Post_Trial_1_2023-05-15,mismatch,post,278.1316546
7,P007_stranger_Talk_mis_Post_Trial_2_2023-05-15,mismatch,post,259.7212252
7,P007_stranger_Talk_mis_Post_Trial_3_2023-05-15,mismatch,post,261.3992961
7,P007_stranger_Talk_mis_Post_Trial_4_2023-05-15,mismatch,post,263.6810774
7,P007_stranger_Talk_mis_Post_Trial_5_2023-05-15,mismatch,post,265.9872801
7,P007_stranger_Talk_mis_Post_Trial_6_2023-05-15,mismatch,post,269.6764563
7,P007_stranger_Talk_mis_Post_Trial_7_2023-05-15,mismatch,post,267.4956533
7,P007_stranger_Talk_mis_Post_Trial_8_2023-05-15,mismatch,post,270.4700709
7,P007_stranger_Talk_mis_Post_Trial_9_2023-05-15,mismatch,post,231.6891438
7,P007_stranger_Talk_mis_Post_Trial_10_2023-05-15,mismatch,post,273.5708963
7,P007_stranger_Talk_mis_Pre_Trial_1_2023-05-15,mismatch,pre,250.0559777
7,P007_stranger_Talk_mis_Pre_Trial_2_2023-05-15,mismatch,pre,278.1085453
7,P007_stranger_Talk_mis_Pre_Trial_3_2023-05-15,mismatch,pre,260.5434105
7,P007_stranger_Talk_mis_Pre_Trial_4_2023-05-15,mismatch,pre,251.5340688
7,P007_stranger_Talk_mis_Pre_Trial_5_2023-05-15,mismatch,pre,249.0200786
7,P007_stranger_Talk_mis_Pre_Trial_6_2023-05-15,mismatch,pre,246.9920411
7,P007_stranger_Talk_mis_Pre_Trial_7_2023-05-15,mismatch,pre,244.6215818
7,P007_stranger_Talk_mis_Pre_Trial_8_2023-05-15,mismatch,pre,258.2891646
7,P007_stranger_Talk_mis_Pre_Trial_9_2023-05-15,mismatch,pre,205.3542116
7,P007_stranger_Talk_mis_Pre_Trial_10_2023-05-15,mismatch,pre,251.4680012
8,P008_stranger_Talk_match_Post_Trial_1_2023-05-16,match,post,269.8462822
8,P008_stranger_Talk_match_Post_Trial_2_2023-05-16,match,post,259.9553886
8,P008_stranger_Talk_match_Post_Trial_3_2023-05-16,match,post,260.4911713
8,P008_stranger_Talk_match_Post_Trial_4_2023-05-16,match,post,259.746907
8,P008_stranger_Talk_match_Post_Trial_5_2023-05-16,match,post,271.6148862
8,P008_stranger_Talk_match_Post_Trial_6_2023-05-16,match,post,267.9033209
8,P008_stranger_Talk_match_Post_Trial_7_2023-05-16,match,post,269.9617942
8,P008_stranger_Talk_match_Post_Trial_8_2023-05-16,match,post,262.3033028
8,P008_stranger_Talk_match_Post_Trial_9_2023-05-16,match,post,270.1369582
8,P008_stranger_Talk_match_Post_Trial_10_2023-05-16,match,post,262.8142041
8,P008_stranger_Talk_match_Pre_Trial_1_2023-05-16,match,pre,236.8429294
8,P008_stranger_Talk_match_Pre_Trial_2_2023-05-16,match,pre,235.0365879
8,P008_stranger_Talk_match_Pre_Trial_3_2023-05-16,match,pre,236.3747869
8,P008_stranger_Talk_match_Pre_Trial_4_2023-05-16,match,pre,233.7639242
8,P008_stranger_Talk_match_Pre_Trial_5_2023-05-16,match,pre,235.5852459
8,P008_stranger_Talk_match_Pre_Trial_6_2023-05-16,match,pre,236.3754606
8,P008_stranger_Talk_match_Pre_Trial_7_2023-05-16,match,pre,236.8120741
8,P008_stranger_Talk_match_Pre_Trial_8_2023-05-16,match,pre,234.2940508
8,P008_stranger_Talk_match_Pre_Trial_9_2023-05-16,match,pre,236.5288072
8,P008_stranger_Talk_match_Pre_Trial_10_2023-05-16,match,pre,236.8011452
8,P008_stranger_Talk_mis_Post_Trial_1_2023-05-16,mismatch,post,239.2887568
8,P008_stranger_Talk_mis_Post_Trial_2_2023-05-16,mismatch,post,238.3790581
8,P008_stranger_Talk_mis_Post_Trial_3_2023-05-16,mismatch,post,249.6153331
8,P008_stranger_Talk_mis_Post_Trial_4_2023-05-16,mismatch,post,249.932358
8,P008_stranger_Talk_mis_Post_Trial_5_2023-05-16,mismatch,post,253.4990504
8,P008_stranger_Talk_mis_Post_Trial_6_2023-05-16,mismatch,post,241.578524
8,P008_stranger_Talk_mis_Post_Trial_7_2023-05-16,mismatch,post,249.4583985
8,P008_stranger_Talk_mis_Post_Trial_8_2023-05-16,mismatch,post,251.1442708
8,P008_stranger_Talk_mis_Post_Trial_9_2023-05-16,mismatch,post,239.2516626
8,P008_stranger_Talk_mis_Post_Trial_10_2023-05-16,mismatch,post,248.8555373
8,P008_stranger_Talk_mis_Pre_Trial_1_2023-05-16,mismatch,pre,235.7193661
8,P008_stranger_Talk_mis_Pre_Trial_2_2023-05-16,mismatch,pre,227.8194112
8,P008_stranger_Talk_mis_Pre_Trial_3_2023-05-16,mismatch,pre,224.9776415
8,P008_stranger_Talk_mis_Pre_Trial_4_2023-05-16,mismatch,pre,222.5080672
8,P008_stranger_Talk_mis_Pre_Trial_5_2023-05-16,mismatch,pre,225.4279625
8,P008_stranger_Talk_mis_Pre_Trial_6_2023-05-16,mismatch,pre,226.2256989
8,P008_stranger_Talk_mis_Pre_Trial_7_2023-05-16,mismatch,pre,223.3120991
